"names"
"Aaron Judge"
"Shohei Ohtani"
"Anthony Santander"
"Juan Soto"
"Marcell Ozuna"
"José Ramírez"
"Brent Rooker"
"Kyle Schwarber"
"Gunnar Henderson"
"Ketel Marte"
"Yordan Alvarez"
"Pete Alonso"
"Cal Raleigh"
"Teoscar Hernández"
"Francisco Lindor"
"Willy Adames"
"Bobby Witt Jr."
"Josh Naylor"
"Tyler O'Neill"
"Vladimir Guerrero Jr."
"Bryce Harper"
"Corey Seager"
"Eugenio Suárez"
"Jake Burger"
"Shea Langeliers"
"Manny Machado"
"Matt Olson"
"Rafael Devers"
"Matt Chapman"
"Salvador Perez"
"Giancarlo Stanton"
"Mark Vientos"
"Alex Bregman"
"Rhys Hoskins"
"Ezequiel Tovar"
"Christian Walker"
"Elly De La Cruz"
"Adolis García"
"Ian Happ"
"Michael Toglia"
"Taylor Ward"
"Colton Cowser"
"Riley Greene"
"Jackson Merrill"
"Jurickson Profar"
"Bryan Reynolds"
"Paul DeJong"
"Paul DeJong"
"Paul DeJong"
"Jazz Chisholm Jr."
"Jazz Chisholm Jr."
"Jazz Chisholm Jr."
"Nick Castellanos"
"William Contreras"
"Brenton Doyle"
"Zach Neto"
"Brandon Nimmo"
"Joc Pederson"
"Carlos Santana"
"Marcus Semien"
"Kyle Tucker"
"Lawrence Butler"
"Corbin Carroll"
"Freddie Freeman"
"Paul Goldschmidt"
"Luke Raley"
"Heliot Ramos"
"Alec Burleson"
"Michael Busch"
"Jackson Chourio"
"Oneil Cruz"
"Jarren Duran"
"Ryan Jeffers"
"Brandon Lowe"
"Seiya Suzuki"
"Fernando Tatis Jr."
"Trea Turner"
"Bryan De La Cruz"
"Bryan De La Cruz"
"Bryan De La Cruz"
"Jorge Soler"
"Jorge Soler"
"Jorge Soler"
"Christopher Morel"
"Christopher Morel"
"Christopher Morel"
"CJ Abrams"
"Jo Adell"
"Jose Altuve"
"Andrew Benintendi"
"JJ Bleday"
"Jeimer Candelario"
"Michael Conforto"
"Andrew McCutchen"
"Ryan McMahon"
"Logan O'Hoppe"
"Julio Rodríguez"
"Will Smith"
"Spencer Steer"
"Randy Arozarena"
"Randy Arozarena"
"Randy Arozarena"
"Mookie Betts"
"Nolan Gorman"
"Vinnie Pasquantino"
"Austin Riley"
"Adley Rutschman"
"George Springer"
"Tyler Stephenson"
"Andrew Vaughn"
"Josh Bell"
"Josh Bell"
"Josh Bell"
"Isaac Paredes"
"Isaac Paredes"
"Isaac Paredes"
"Cody Bellinger"
"Byron Buxton"
"Kerry Carpenter"
"Luis García Jr."
"Lourdes Gurriel Jr."
"Cedric Mullins"
"Jesús Sánchez"
"Jose Siri"
"Daulton Varsho"
"Jordan Westburg"
"Mike Yastrzemski"
"Orlando Arcia"
"Jake Cronenworth"
"Zack Gelof"
"Kyle Higashioka"
"MJ Melendez"
"Nolan Arenado"
"Yainer Diaz"
"Michael Harris II"
"Wyatt Langford"
"Royce Lewis"
"Nathaniel Lowe"
"Brandon Marsh"
"J.D. Martinez"
"Jorge Polanco"
"Dansby Swanson"
"Matt Vierling"
"Wilyer Abreu"
"Alec Bohm"
"Willson Contreras"
"Travis d'Arnaud"
"Tyler Fitzgerald"
"Mitch Garver"
"Jonathan India"
"Jarred Kelenic"
"Trevor Larnach"
"Max Muncy"
"Ryan O'Hearn"
"Jeremy Peña"
"Ceddanne Rafaela"
"Hunter Renfroe"
"Gleyber Torres"
"Masyn Winn"
"Lane Thomas"
"Lane Thomas"
"Lane Thomas"
"Will Benson"
"Seth Brown"
"Carlos Correa"
"Yandy Díaz"
"Brendan Donovan"
"David Fry"
"Steven Kwan"
"Michael Massey"
"Mickey Moniak"
"J.T. Realmuto"
"Luis Robert Jr."
"Jesse Winker"
"Jesse Winker"
"Jesse Winker"
"Joey Bart"
"Triston Casas"
"TJ Friedl"
"Hunter Goodman"
"Jonah Heim"
"Colt Keith"
"Jake Meyers"
"Ryan Mountcastle"
"Bo Naylor"
"Jhonkensy Noel"
"Andy Pages"
"Brendan Rodgers"
"Keibert Ruiz"
"Nolan Schanuel"
"Davis Schneider"
"Jon Singleton"
"Josh Smith"
"Rowdy Tellez"
"Alex Verdugo"
"Matt Wallner"
"Austin Wells"
"Connor Wong"
"Ty France"
"Ty France"
"Ty France"
"Harrison Bader"
"Jake Bauers"
"Charlie Blackmon"
"Willi Castro"
"Ernie Clement"
"Randal Grichuk"
"Mitch Haniger"
"Kiké Hernández"
"Spencer Horwitz"
"Korey Lee"
"Jeff McNeil"
"Lars Nootbaar"
"Leody Taveras"
"Anthony Volpe"
"Francisco Alvarez"
"Xander Bogaerts"
"Jonah Bride"
"Adam Duvall"
