Rk,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional,name,payroll,veteran,league,all_star
233.0,28.0,ARI,NL,0.6,60.0,158.0,137.0,26.0,37.0,11.0,0.0,9.0,36.0,1.0,0.0,18.0,31.0,0.27,0.348,0.547,0.896,145.0,0.382,145.0,75.0,4.0,0.0,0.0,3.0,0.0,397H/D1,,smithpa04,Pavin Smith,1000000.0,1,1,0
261.0,36.0,SDP,NL,0.8,91.0,260.0,236.0,35.0,63.0,11.0,0.0,8.0,28.0,2.0,0.0,22.0,54.0,0.267,0.335,0.415,0.75,109.0,0.335,112.0,98.0,3.0,2.0,0.0,0.0,0.0,9HD7,,peralda01,David Peralta,1000000.0,1,1,0
265.0,36.0,SDP,NL,0.9,96.0,309.0,283.0,31.0,81.0,13.0,0.0,8.0,35.0,2.0,1.0,22.0,65.0,0.286,0.343,0.417,0.76,112.0,0.339,116.0,118.0,6.0,3.0,0.0,1.0,0.0,5DH3/4,,solando01,Donovan Solano,1000000.0,1,1,0
271.0,35.0,2TM,AL,0.4,100.0,314.0,284.0,38.0,65.0,16.0,1.0,8.0,45.0,12.0,3.0,16.0,69.0,0.229,0.291,0.377,0.667,88.0,0.298,86.0,107.0,10.0,10.0,1.0,3.0,0.0,8H79D,,pillake01,Kevin Pillar,1000000.0,1,0,0
271.0,35.0,CHW,AL,0.0,17.0,32.0,25.0,1.0,4.0,2.0,0.0,1.0,4.0,2.0,0.0,4.0,8.0,0.16,0.29,0.36,0.65,86.0,0.303,83.0,9.0,0.0,1.0,1.0,1.0,0.0,/H89D,,pillake01,Kevin Pillar,1000000.0,1,0,0
271.0,35.0,LAA,AL,0.3,83.0,282.0,259.0,37.0,61.0,14.0,1.0,7.0,41.0,10.0,3.0,12.0,61.0,0.236,0.291,0.378,0.669,88.0,0.298,86.0,98.0,10.0,9.0,0.0,2.0,0.0,8H79/D,,pillake01,Kevin Pillar,1000000.0,1,0,0
275.0,31.0,COL,NL,-0.7,123.0,346.0,323.0,42.0,81.0,16.0,5.0,7.0,37.0,5.0,2.0,18.0,98.0,0.251,0.29,0.396,0.686,84.0,0.297,77.0,128.0,6.0,1.0,1.0,3.0,1.0,*97H/8D,,caveja01,Jake Cave,1000000.0,1,1,0
403.0,30.0,ARI,NL,2.2,111.0,311.0,288.0,41.0,80.0,17.0,1.0,3.0,28.0,8.0,1.0,15.0,48.0,0.278,0.311,0.375,0.686,91.0,0.313,92.0,108.0,7.0,0.0,6.0,2.0,1.0,643/H57D,,newmake01,Kevin Newman,1000000.0,1,1,0
411.0,28.0,NYM,NL,0.7,47.0,130.0,118.0,14.0,27.0,8.0,0.0,3.0,15.0,0.0,1.0,9.0,28.0,0.229,0.292,0.373,0.665,89.0,0.287,86.0,44.0,5.0,2.0,0.0,1.0,0.0,2/HD1,,torrelu01,Luis Torrens,1000000.0,1,1,0
451.0,34.0,3TM,NL,-0.3,71.0,228.0,210.0,20.0,48.0,6.0,1.0,2.0,17.0,2.0,1.0,11.0,51.0,0.229,0.267,0.295,0.562,62.0,0.254,61.0,62.0,6.0,1.0,3.0,3.0,0.0,6/H4,,ahmedni01,Nick Ahmed,1000000.0,1,1,0
451.0,34.0,SFG,NL,-0.1,52.0,172.0,155.0,13.0,36.0,6.0,1.0,1.0,15.0,1.0,1.0,10.0,35.0,0.232,0.278,0.303,0.581,68.0,0.263,69.0,47.0,6.0,1.0,3.0,3.0,0.0,6/H,,ahmedni01,Nick Ahmed,1000000.0,1,1,0
451.0,34.0,LAD,NL,-0.1,17.0,49.0,48.0,6.0,11.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,14.0,0.229,0.245,0.292,0.537,53.0,0.241,47.0,14.0,0.0,0.0,0.0,0.0,0.0,6/H,,ahmedni01,Nick Ahmed,1000000.0,1,1,0
451.0,34.0,SDP,NL,-0.2,2.0,7.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.143,0.143,0.143,0.286,-19.0,0.128,-38.0,1.0,0.0,0.0,0.0,0.0,0.0,/46,,ahmedni01,Nick Ahmed,1000000.0,1,1,0
463.0,35.0,SFG,NL,0.3,41.0,125.0,108.0,12.0,21.0,3.0,0.0,1.0,8.0,0.0,0.0,13.0,22.0,0.194,0.293,0.25,0.543,60.0,0.27,73.0,27.0,3.0,2.0,2.0,0.0,0.0,2,,casalcu01,Curt Casali,1000000.0,1,1,0
573.0,33.0,TEX,AL,0.2,4.0,10.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.286,0.5,0.286,0.786,135.0,0.388,156.0,2.0,0.0,1.0,0.0,0.0,0.0,/5H,,duffyma01,Matt Duffy,1000000.0,1,0,0
726.0,30.0,BAL,AL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1,,webbja01,Jacob Webb,1000000.0,1,0,0
